unitid,opeid8,opeid6,inst_name,state_abbr,year,inst_control,sector,fte,risk_score,enr_pct_chg_5y,enr_pct_chg_1y,discount_rate,operating_margin,tuition_dependence,composite_score,composite_zone,composite_fail,miss_finance,finance_from_parent,hcm1_current,hcm2_current,hcm2_scorecard,scorecard_operating,scorecard_under_investigation,accreditor_public_action,warn_layoff_mention,enrichment_notes,label_complete_h3,closed_or_merged_within_3_years,lib_year,lib_source,lib_physical_books,lib_digital_items,lib_expenditures,lib_fte,lib_staff_fte,lib_arl_member,lib_special_collections_note,lib_unique_flag,lib_note_url
366605,2622000,26220,Southwest Acupuncture College-Santa Fe,NM,2022,3.0,3.0,7.0,0.96850646,-0.8372093023255813,-0.6143642900499603,,,,1.8,False,False,True,False,,False,,,,,False,,False,,2021.0,urban,2088.0,0.0,,0.38,0.38,False,Unknown — public website did not yield a usable library page for Southwest Acupuncture College-Santa Fe.,False,
490559,2583001,25830,Gwinnett Institute,FL,2022,3.0,3.0,392.0,0.9671938,-0.3074204946996466,-0.3477537437603993,,,,,False,False,True,False,,False,,,,,False,,False,,2021.0,urban,1646.0,7231.0,,1.0,1.0,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.gwinnettcollege.edu/library/about
220002,746902,7469,Hussian College-Daymar College Nashville,TN,2022,3.0,3.0,33.0,0.96713793,-0.835820895522388,-0.3125,,,,0.0,False,True,True,False,,False,,,,,False,,False,,2021.0,urban,,121862.0,,0.0,1.0,False,Unknown — public website did not yield a usable library page for Hussian College-Daymar College Nashville.,False,
456977,3071603,30716,CBT Technology Institute-Cutler Bay,FL,2022,3.0,6.0,130.0,0.9670861,-0.2073170731707316,0.5662650602409638,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.cbt.edu/students/library
481155,4206400,42064,Helms College,GA,2022,2.0,5.0,195.0,0.96693045,-0.4036697247706422,-0.1255605381165919,,,,1.6,False,False,False,False,,False,False,1.0,0.0,,False,,False,,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.helms.edu/library/about
459417,4163300,41633,Compass College of Film and Media,MI,2022,2.0,2.0,50.0,0.9663756,-0.6855345911949686,-0.2857142857142857,,,,3.0,False,False,True,False,,False,,,,,False,,False,,2021.0,urban,621.0,0.0,,0.15,0.15,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://compass.edu/students/library
494755,500703,5007,West Virginia Junior College-United Career Institute,PA,2022,3.0,6.0,71.0,0.9652713,,-0.0779220779220779,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,2022.0,urban,88.0,73.0,,1.0,1.0,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://unitedcareer.edu/students/library
237598,500800,5008,Mountain State College,WV,2022,3.0,6.0,30.0,0.9646724,-0.7272727272727273,-0.1428571428571429,,,,1.8,False,False,True,False,,False,,,,,False,,False,,2022.0,urban,3415.0,776.0,,1.0,1.0,False,Unknown — public website did not yield a usable library page for Mountain State College.,False,
181941,2621500,26215,Career College of Northern Nevada,NV,2022,3.0,6.0,459.0,0.9634017,-0.2644230769230768,-0.0437499999999999,,,,1.5,False,False,True,False,,False,,,,,False,,False,,2021.0,urban,2529.0,60668.0,,0.0,3.0,False,Unknown — public website did not yield a usable library page for Career College of Northern Nevada.,False,
448372,2120707,21207,San Joaquin Valley College-Rancho Cordova,CA,2022,3.0,6.0,300.0,0.9629669,0.3888888888888888,0.0869565217391303,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Rancho Cordova.,False,
262457,2120701,21207,San Joaquin Valley College-Fresno,CA,2022,3.0,6.0,529.0,0.962205,-0.3761792452830188,0.0537848605577688,,,,,False,False,True,False,,False,False,0.0,0.0,,False,,False,,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Fresno.,False,
115728,118300,1183,Holy Names University,CA,2022,2.0,2.0,959.0,0.96193236,0.247074122236671,0.0997706422018349,,,,1.7,False,False,True,False,,False,,,,,False,,False,,2021.0,urban,37284.0,384357.0,535968.0,4.0,14.0,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.hnu.edu/library/about
495952,2120718,21207,San Joaquin Valley College-Rancho Mirage,CA,2022,3.0,6.0,195.0,0.96173537,,0.3265306122448979,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Rancho Mirage.,False,
475176,2120709,21207,San Joaquin Valley College-Temecula,CA,2022,3.0,6.0,852.0,0.9614792,1.0,0.0583850931677019,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Temecula.,False,
443748,149917,1499,Altierus Career College-Norcross,GA,2022,2.0,5.0,319.0,0.95940113,-0.3212765957446808,-0.6143642900499603,,,,2.7,False,False,True,False,,False,,,,,False,,False,,2021.0,urban,,486207.0,,,,False,Unknown — public website did not yield a usable library page for Altierus Career College-Norcross.,False,
442444,2120704,21207,San Joaquin Valley College-Ontario,CA,2022,3.0,6.0,1229.0,0.9587922,0.2192460317460318,0.1794625719769673,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Ontario.,False,
477233,246301,2463,Evangel University-James River Assembly of God Church,MO,2022,2.0,5.0,98.0,0.95872796,,,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.evangel.edu/library/about
172440,232200,2322,Finlandia University,MI,2022,2.0,2.0,450.0,0.95756143,0.2534818941504178,0.1568123393316196,,,,1.0,True,False,True,False,,False,,,,,False,,False,,2021.0,urban,50176.0,419314.0,137248.0,1.0,14.5,False,Unknown — public website did not yield a usable library page for Finlandia University.,False,
238430,383700,3837,Cardinal Stritch University,WI,2022,2.0,2.0,1332.0,0.95688033,-0.2132309509746013,0.4415584415584415,,,,2.2,False,False,True,False,,False,,,,,False,,False,,2021.0,urban,120280.0,341840.0,454348.0,3.0,5.4,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.stritch.edu/library/about
458885,145984,1459,Strayer University-Arkansas,AR,2022,3.0,3.0,261.0,0.956746,0.2253521126760562,-0.1470588235294118,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,2013.0,urban,1106.0,78964.0,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.strayer.edu
495961,2120719,21207,San Joaquin Valley College-Santa Maria,CA,2022,3.0,6.0,168.0,0.95672053,,0.2824427480916029,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Santa Maria.,False,
488068,4244800,42448,Huntington University of Health Sciences,TN,2022,3.0,3.0,71.0,0.95610684,-0.0138888888888888,0.3148148148148149,,,,2.6,False,False,True,False,,False,,,,,False,,False,,2021.0,urban,,16751.0,,0.33,0.33,False,Unknown — public website did not yield a usable library page for Huntington University of Health Sciences.,False,
134811,887800,8878,AI Miami International University of Art and Design,FL,2022,3.0,3.0,909.0,0.9560064,-0.3683113273106324,-0.027807486631016,,,,-0.2,False,True,True,False,,False,,,,,False,,False,,2021.0,urban,24588.0,369987.0,173116.0,1.0,3.0,False,Unknown — public website did not yield a usable library page for AI Miami International University of Art and Design.,False,
442426,2340500,23405,St Louis College of Health Careers-Fenton,MO,2022,3.0,3.0,424.0,0.9559285,-0.0493273542600897,-0.0514541387024608,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,2022.0,urban,230.0,1.0,,0.33,0.33,False,Unknown — public website did not yield a usable library page for St Louis College of Health Careers-Fenton.,False,
443571,2559400,25594,InterCoast Colleges-West Covina,CA,2022,3.0,6.0,506.0,0.9556472,2.3289473684210527,0.0652631578947369,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,2022.0,urban,,26.0,,0.0,1.0,False,Unknown — public website did not yield a usable library page for InterCoast Colleges-West Covina.,False,
458955,145991,1459,Strayer University-Mississippi,MS,2022,3.0,3.0,239.0,0.9551244,-0.1277372262773722,-0.2315112540192926,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,2013.0,urban,1120.0,78964.0,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.strayer.edu
122694,2120703,21207,San Joaquin Valley College-Bakersfield,CA,2022,3.0,6.0,1015.0,0.9546789,-0.1576763485477178,-0.0360873694207027,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Bakersfield.,False,
408729,2092502,20925,Laurel Technical Institute,PA,2022,3.0,6.0,21.0,0.9533138,-0.8381393154822869,-0.6143642900499603,,,,,False,False,True,False,,False,,,,,False,,False,,2021.0,urban,931.0,2.0,,0.0,1.0,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.laurel.edu/library/about
450298,145948,1459,Strayer University-Delaware,DE,2022,3.0,3.0,205.0,0.95217043,-0.1493775933609958,-0.0465116279069767,,,,,False,False,True,False,,False,False,1.0,0.0,,False,,False,,2013.0,urban,1187.0,78964.0,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.strayer.edu
201751,1088000,10880,Chatfield College,OH,2022,2.0,5.0,129.0,0.9515077,-0.3676470588235294,0.4175824175824176,,,,3.0,False,False,True,False,,False,,,,,False,,False,,2021.0,urban,15059.0,566428.0,,1.0,1.0,False,Unknown — public website did not yield a usable library page for Chatfield College.,False,
482422,1072702,10727,DeVry University-Arizona,AZ,2022,3.0,3.0,62.0,0.9509984,-0.8381393154822869,-0.4561403508771929,0.1274810120274954,-2.556708649833892,0.9794546255271136,,False,False,False,False,,False,False,1.0,0.0,,False,,False,,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.devry.edu
